   ing    |                                                                                                                                                                                              units                                                                                                                                                                                               
 1012001  | ["tablespoon", "tablespoons", "teaspoons"]
 1012002  | ["", "cups", "ounces", "servings", "tablespoon", "teaspoon"]
 10120052 | ["cup", "cups", "serving", "servings"]
 10120054 | ["", "servings"]
 1012006  | [""]
 1012009  | ["", "tablespoons", "teaspoons"]
 10120124 | ["", "ounces", "servings"]
 10120125 | ["ounces", "pounds"]
 10120129 | ["Cs", "cup", "cups", "grams", "ounces"]
 1012020  | ["Tablespoons", "tablespoons", "teaspoon", "teaspoons"]
 1012023  | ["", "servings", "teaspoon"]
 1012024  | ["Tablespoons", "Tb", "cups", "handful", "servings", "sprigs", "tablespoon", "tablespoons"]
 1012028  | ["Tablespoon", "Tb", "Tbs", "Teaspoon", "pinch", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1012030  | ["ounces", "servings", "tablespoon", "teaspoon", "teaspoons"]
 1012034  | ["Tbsps", "cups", "servings", "teaspoons"]
 1012035  | ["cup", "teaspoon", "teaspoons"]
 10120409 | ["", "grams", "pound", "pounds"]
 10120410 | ["ounces"]
 1012042  | ["Tablespoon", "Tbsp", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10120420 | ["cups", "grams", "ounces", "package", "pound", "pounds"]
 10120421 | ["ounces", "pounds"]
 10120444 | ["bags", "cup", "cups", "measure", "servings"]
 10120445 | ["cup", "cups", "servings"]
 1012046  | ["Tablespoon", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1012047  | ["", "Dash", "Pounds", "Tablespoon", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "cup", "cups", "dash", "dashes", "fillets", "gram", "grams", "inch", "milliliters", "ounces", "pinch", "pinche", "pinches", "pound", "pounds", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10120499 | ["cup", "cups", "grams", "ounces", "pound", "pounds"]
 1012050  | ["drops", "tablespoon", "teaspoon", "teaspoons"]
 1012053  | ["Tbs", "cups", "tablespoon", "tablespoons", "teaspoons"]
 1012068  | ["Tablespoon", "Tablespoons", "Tb", "Tbsp", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1012069  | ["Tablespoons", "Tb", "Tbsp", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10123    | ["", "Cs", "Lbs", "Package", "Slices", "cup", "cups", "grams", "ounce", "ounces", "package", "pound", "pounds", "serving", "servings", "slice", "slices", "stalks", "strips", "tablespoons"]
 10130    | ["", "Slices", "cup", "cups", "ounces", "package", "slice", "slices", "strips"]
 1014     | ["cup", "cups", "ounces"]
 1014053  | ["cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10149    | ["", "grams", "kgs", "ounces", "pound", "pounds"]
 1015006  | ["", "cup", "cups", "grams", "ounces", "pound"]
 1015057  | ["ounces", "pound"]
 1015062  | ["", "Package", "ounces", "pound", "pounds", "servings"]
 10151    | ["", "Cs", "Tbsps", "cup", "cups", "grams", "ounce", "ounces", "pound", "pounds", "serving", "servings", "slice", "slices"]
 1016     | ["Cups", "cup", "cups", "grams", "ounces"]
 1016075  | ["tablespoons"]
 1016076  | ["servings", "teaspoon", "teaspoons"]
 1016080  | ["tablespoon"]
 1016168  | ["", "Tb", "Tbs", "Tbsp", "Tbsps", "cups", "drops", "milliliters", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1016194  | ["", "cup", "cups"]
 10165    | ["cup", "ounces", "pounds"]
 1016970  | ["can", "cup", "cups", "ounces"]
 1016973  | ["Tbs", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1017     | ["", "Cs", "Ounces", "Ozs", "Pkg", "TBSPs", "Tablespoon", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "ounce", "ounces", "package", "packages", "pkgs", "pound", "pounds", "serving", "servings", "stick", "tablespoon", "tablespoons", "teaspoons"]
 1017063  | ["", "Cs", "Pkgs", "chunk", "cup", "cups", "grams", "links", "ounces", "package", "pound", "pounds", "servings"]
 1019     | ["", "Cs", "Cups", "Ozs", "Tablespoons", "Tb", "Tbs", "Tbsps", "cup", "cups", "grams", "ounce", "ounces", "package", "pound", "pounds", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 1019003  | [""]
 1019016  | ["", "Cs", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "servings", "tablespoons", "teaspoon", "teaspoons"]
 1019176  | [""]
 1019195  | ["", "cup", "cups", "ounces", "teaspoon"]
 1019200  | ["", "cup", "cups"]
 1019218  | ["", "slices"]
 1019322  | ["", "Grams", "ball", "inch", "servings", "tablespoons", "teaspoon"]
 1019354  | [""]
 10193605 | ["Tbs"]
 10193691 | ["servings"]
 10193701 | ["package", "servings"]
 1020     | ["cup", "cups", "grams", "ounces", "pounds", "slices"]
 10204    | ["", "kgs", "pound", "pounds", "rib", "slabs"]
 1021004  | ["cups", "grams", "ounces", "servings"]
 1021009  | ["", "cup", "cups", "grams", "ounces", "package", "pounds", "servings", "slices"]
 10210123 | ["pounds", "strips"]
 10211111 | ["Tablespoon", "servings", "teaspoon", "teaspoons"]
 10211205 | [""]
 10211282 | ["", "cup", "cups", "ounces", "tablespoons"]
 10211362 | ["", "cups", "ounces", "pound", "pounds", "serving", "servings"]
 10211529 | ["", "cup", "cups", "ounces", "pound", "pounds", "servings"]
 10211819 | ["", "teaspoons"]
 10211821 | ["", "Chunk", "Tablespoons", "chunk", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings", "tablespoon", "teaspoon", "teaspoons"]
 10211937 | ["", "cup", "jar", "servings"]
 10211962 | ["", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon"]
 10214037 | ["cups", "ounces", "tablespoon"]
 10214106 | ["", "Tbs", "Tbsp", "cup", "cups", "milliliters", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 10216034 | ["cup", "ounces"]
 10216070 | ["cup"]
 10216112 | ["Tablespoon", "cups", "tablespoons"]
 10216124 | ["Tb", "Tbsp", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10218    | ["", "grams", "ounces", "pound", "pounds"]
 10218364 | ["", "10 inchs", "10-inchs", "12-inchs", "5-inchs", "6-inchs", "7-inchs", "8-inch", "8-inchs", "9-inchs", "package", "packages", "servings"]
 10218375 | ["teaspoons"]
 10218617 | [""]
 10219    | ["", "cups", "grams", "ounces", "pound", "pounds"]
 10219047 | ["", "cup", "cups"]
 10219172 | ["Tablespoons", "box", "cups", "ounces", "tablespoons", "teaspoons"]
 10219297 | ["cups", "ounces"]
 10219903 | ["cups", "servings", "tablespoons"]
 1022     | ["cup", "cups", "ounce", "ounces", "slices"]
 10220054 | ["cup", "grams"]
 10220055 | ["serving"]
 1022006  | ["", "Tb", "cups"]
 1022009  | ["Tbs", "Tbsp", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10220124 | ["cups", "ounces"]
 1022020  | ["", "Dash", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "Teaspoons", "Tsp", "cloves", "cups", "dash", "ounces", "pinch", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1022024  | ["", "Tablespoon", "Tbs", "sprigs", "tablespoon", "tablespoons", "teaspoon"]
 1022027  | ["", "Tablespoon", "Tablespoons", "Tb", "Tbsp", "Tbsps", "cubes", "ounces", "servings", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1022028  | ["envelope", "ounces", "packet", "packets", "serving", "tablespoons"]
 1022030  | ["", "Tablespoon", "Tbsp", "Tbsps", "cups", "grams", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1022034  | ["Tb", "Tbsp", "ounces", "servings", "tablespoon", "teaspoon", "teaspoons"]
 1022035  | ["ounces", "pinch", "tablespoon", "teaspoon", "teaspoons"]
 10220409 | ["grams", "pounds", "servings"]
 1022042  | ["servings", "tablespoons", "teaspoons"]
 10220421 | [""]
 10220444 | ["Tbs", "cup", "cups", "grams", "ounces", "servings", "tablespoons"]
 10220445 | ["Cs", "cup", "cups", "ounces", "servings"]
 1022047  | ["serving", "servings", "teaspoon", "teaspoons"]
 10220499 | ["ounces"]
 1022050  | ["", "dash", "tablespoon", "teaspoon", "teaspoons"]
 1022053  | ["Cups", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoons", "cup", "cups", "ounce", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1022068  | ["TBSPs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10225    | ["", "Pounds", "kg", "kgs", "pound", "pounds", "ribs", "servings"]
 1023     | ["", "C", "cup", "cups", "grams", "ounce", "ounces", "pounds", "slices"]
 1024053  | ["Tbs", "handful", "servings", "tablespoon", "teaspoon", "teaspoons"]
 10242040 | ["", "Tbs", "cup", "cups", "glasse", "tablespoons", "teaspoon", "teaspoons"]
 1025     | ["cup", "cups", "grams", "ounce", "ounces", "pounds", "servings", "slices", "tablespoons"]
 1025006  | ["", "cup", "cups", "fillets", "grams", "head", "kgs", "ounces", "package", "packet", "pound", "pounds", "servings", "slices", "tablespoons", "teaspoons"]
 1025062  | ["", "pound", "pounds"]
 1026     | ["", "C", "Cs", "Slices", "ball", "cubes", "cup", "cups", "grams", "handfuls", "inches", "ounce", "ounces", "pound", "pounds", "slice", "slices", "tablespoons"]
 1026076  | ["", "milliliters"]
 1028     | ["cup", "cups", "inches", "ounces", "pounds", "slices", "sticks", "tablespoons"]
 1029     | ["cup", "cups", "ounces", "pound"]
 1029003  | ["", "Tbsps", "cup", "cups", "grams", "inches", "pound", "pounds", "slices"]
 1029195  | ["", "cup", "cups", "grams", "handful", "handfuls", "ounces", "servings", "tablespoons"]
 1029354  | ["", "Cups", "can", "chunk", "cup", "cups", "grams", "milliliters", "ounces"]
 1030     | ["", "Slice", "cups", "ounce", "ounces", "slice", "slices", "tablespoons"]
 1031     | ["Tablespoon", "Tbsp", "ounces", "tablespoon"]
 1031009  | ["", "Cs", "cup", "cups", "grams", "inches", "ounce", "ounces", "pound", "pounds", "serving", "servings", "slice", "slices", "tablespoon", "tablespoons"]
 10310123 | ["", "inches", "ounce", "ounces", "pound", "pounds", "slices", "strips"]
 10311111 | ["", "leaves"]
 10311282 | ["", "ounces", "pound", "pounds"]
 10311529 | ["", "bunches", "container", "cup", "cups", "grams", "grs", "handful", "handfuls", "ounces", "pint", "pints", "pound", "pounds", "servings"]
 10311643 | ["", "cups", "grams", "pounds"]
 10311693 | ["Ozs", "cups", "ounces"]
 10311819 | ["", "servings"]
 10311821 | ["", "cup"]
 10314037 | ["", "Tablespoon", "cups", "ounce", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 10314534 | ["", "Tablespoon", "Tbsp", "cups", "fluid ounces", "ounce", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 10319172 | ["ounces", "tablespoons"]
 10319175 | ["", "ounces"]
 10319297 | ["cups", "servings", "tablespoon", "tablespoons"]
 10319335 | ["cups", "grams", "pinch", "servings", "tablespoon"]
 1032009  | ["", "Dash", "Tb", "Teaspoon", "Teaspoons", "cup", "dash", "dashes", "pinch", "pinche", "pinches", "serving", "servings", "slice", "sprigs", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10320124 | ["cups", "pound"]
 1032027  | ["", "Dashs", "Tbsps", "Teaspoons", "cup", "cups", "grams", "mLs", "ounce", "ounces", "package", "packet", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1032028  | ["Tbs", "Tbsp", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1032034  | ["Dash", "teaspoon", "teaspoons"]
 1032035  | ["pinch", "teaspoons"]
 10320409 | ["ounces", "pound"]
 1032047  | ["cups", "tablespoon", "teaspoon", "teaspoons"]
 10320499 | ["cups"]
 1032053  | ["Tbs", "Tbsps", "cups", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1033     | ["", "C", "Cs", "Cups", "Handful", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Tsps", "cup", "cups", "gm", "grams", "handful", "inches", "milliliters", "ounce", "ounces", "serving", "servings", "slices", "square", "tablespoon", "tablespoons", "teaspoons"]
 1034053  | ["", "Cs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "inches", "milliliters", "serving", "servings", "tablespoon", "tablespoons", "tb", "teaspoon", "teaspoons"]
 1035     | ["Slices", "cup", "cups", "ounce", "ounces", "pound", "pounds", "servings", "slice", "slices"]
 1036     | ["", "Tbsps", "container", "cup", "cups", "grams", "ounce", "ounces", "pints", "pound", "pounds", "servings", "tablespoons", "tub"]
 1037     | ["cup", "cups", "ounces", "pint", "pound", "tablespoons"]
 1038     | ["", "Ozs", "Tbsps", "cup", "cups", "grams", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 1039     | ["ounces"]
 1039003  | ["", "cups", "pounds"]
 1039195  | ["", "cups", "servings"]
 1039354  | ["Can", "cup", "cups", "ounces"]
 10398875 | ["cups", "ounces", "pound"]
 1040     | ["", "Cs", "cup", "cups", "ounces", "pound", "pounds", "servings", "slice", "slices"]
 1041009  | ["", "Cs", "Tbs", "cup", "cups", "grams", "handful", "ounces", "pound", "pounds", "serving", "servings", "slice", "slices", "tablespoons"]
 10410123 | ["", "cups", "grams", "ounce", "ounces", "pounds", "servings", "slice", "slices"]
 10411111 | ["", "Tb", "Tbsp", "dash", "drops", "tablespoons", "teaspoon", "teaspoons"]
 10411529 | ["", "Cs", "cup", "cups", "grams", "ounces", "pounds", "servings"]
 10414037 | ["Tbs", "cups", "ounce", "ounces", "tablespoon", "tablespoons", "teaspoon"]
 10414534 | ["Tbsps", "cups", "ounce", "ounces", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10417158 | ["grams"]
 10419172 | ["cups", "ounces"]
 10419297 | ["Tbsps", "cups", "ounces", "tablespoon"]
 10419335 | ["", "cube"]
 10419903 | ["", "C", "Cs", "bag", "cup", "cups", "grams", "ounces", "package"]
 1042009  | ["tablespoons", "teaspoon", "teaspoons"]
 1042035  | ["ounces", "slice", "tablespoon", "teaspoon", "teaspoons"]
 1042047  | ["", "Tablespoon", "cups", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1042053  | ["cups", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1045062  | ["", "ounces", "pound", "pounds"]
 1049     | ["", "Cs", "TBSPs", "Tablespoons", "Tbsps", "cup", "cups", "gallons", "head", "milliliters", "ounces", "package", "pints", "pound", "quart", "servings", "tablespoon", "tablespoons", "teaspoons"]
 1049195  | ["", "cup", "cups", "ounces", "servings", "tablespoons"]
 10511282 | ["", "C", "Tbsp", "Tbsps", "cup", "cups", "pound", "pounds", "tablespoons", "teaspoon", "teaspoons"]
 10514037 | ["", "cups", "milliliters", "ounce", "ounces", "tablespoon", "teaspoon"]
 10516050 | ["Cans", "cup", "cups", "ounces", "pounds"]
 10519297 | ["ounces", "tablespoons"]
 1052     | ["", "cups", "milliliters", "tablespoons"]
 1052009  | ["", "dashes", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1052027  | ["tablespoons"]
 1052034  | ["Dash", "Tablespoon", "cups", "dash", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10520420 | ["", "box", "bunch", "ounces", "pound"]
 10520421 | [""]
 1052047  | ["Teaspoon", "dashes", "pinch", "servings", "tablespoon", "teaspoon", "teaspoons"]
 1053     | ["", "C", "Cs", "Cups", "Tablespoon", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "Teaspoons", "Tsps", "cup", "cups", "dash", "grams", "mLs", "milliliters", "ounce", "ounces", "pinch", "pint", "pints", "pound", "quart", "quarts", "serving", "servings", "sprig", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1054     | ["Cups", "Tbs", "Tbsps", "can", "cup", "cups", "ounce", "ounces", "serving", "servings", "tablespoons", "teaspoons"]
 1055062  | ["", "Lbs", "Pounds", "cups", "fillets", "grams", "ounces", "pound", "pounds", "servings", "slices"]
 1056     | ["", "C", "Cs", "Cups", "Tablespoon", "Tablespoons", "Tb", "Tbsp", "Tbsps", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "pint", "pound", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 1057     | ["Cs", "cup", "cups", "mLs", "milliliters", "tablespoon", "tablespoons", "teaspoons"]
 1059195  | ["", "Cups", "Ozs", "Tablespoons", "Tbsps", "can", "cans", "cup", "cups", "grams", "handful", "ounces", "servings", "tablespoons"]
 10611111 | ["teaspoons"]
 10611282 | ["", "cup", "cups", "grams", "inch", "ounce", "ounces", "pounds", "servings", "tablespoons", "teaspoons"]
 10614037 | ["Tbs", "cups", "tablespoon", "tablespoons", "teaspoon"]
 10619297 | ["cup", "cups", "grams", "tablespoon", "tablespoons"]
 1062009  | ["tablespoon", "teaspoon", "teaspoons"]
 1062027  | ["Tablespoon", "Tb", "tablespoons", "teaspoon", "teaspoons"]
 1062034  | ["cups"]
 10620420 | ["", "box", "grams", "ounces", "package", "packet", "pound", "servings", "sheets", "slices"]
 10620421 | ["", "box"]
 1062047  | ["", "Teaspoons", "cups", "pinch", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1067     | ["Tbsps", "cup", "cups", "fluid ounces", "tablespoons"]
 10711111 | ["", "Dash", "Tablespoons", "Tb", "Tbsp", "bag", "cup", "cups", "drop", "drops", "inches", "ounce", "ounces", "servings", "stick", "tablespoon", "tablespoons", "teaspoon", "teaspoons", "tube"]
 10716050 | ["", "can", "cup", "cups", "grams", "ounces"]
 10719297 | ["C", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "ounces", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1072009  | ["tablespoons", "teaspoon"]
 1072034  | ["cups", "servings"]
 10720420 | ["grams", "ounces", "pound", "pounds", "servings"]
 10720421 | ["ounces", "pound", "servings"]
 1072047  | ["teaspoon", "teaspoons"]
 1077     | ["", "C", "Cs", "Cups", "TBSPs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "can", "cans", "cup", "cups", "drops", "gallons", "grams", "liter", "liters", "mLs", "milliliters", "ounce", "ounces", "pint", "quart", "quarts", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10811111 | ["", "drops", "teaspoon", "teaspoons"]
 10814037 | ["", "Tbs", "cup", "cups", "fluid ounce", "fluid ounces", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10816050 | ["ounces"]
 10819297 | ["", "Tbs", "cup", "cups", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10820420 | ["cups", "grams", "ounces", "pound"]
 1082047  | ["", "Tablespoon", "Tablespoons", "Tbs", "Tbsp", "Teaspoons", "cup", "cups", "dash", "grams", "pinch", "pinches", "pound", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1085     | ["Tbs", "Tbsp", "cup", "cups", "mLs", "milliliters", "ounces", "pint", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10862    | ["", "Cs", "Tablespoon", "Tbsp", "Tbsps", "bunch", "cup", "cups", "ounce", "ounces", "packages", "serving", "servings", "slices", "tablespoons", "teaspoon", "teaspoons"]
 1088     | ["cup", "cups", "milliliters"]
 1090     | ["", "Cups", "Tbsps", "cups", "grams", "ounces", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10911111 | ["cups", "tablespoon", "tablespoons", "teaspoons"]
 10914037 | ["Tb", "Tbs", "Tbsps", "cup", "cups", "ounces", "tablespoons"]
 10920420 | ["", "Cs", "cup", "cups", "grams", "ounces", "pound", "pounds", "tablespoons"]
 10920421 | ["cup", "cups", "ounces", "pounds"]
 1094     | ["Tablespoon", "Tablespoons", "cups", "tablespoons"]
 1095     | ["Can", "Ozs", "TBSPs", "can", "cans", "cup", "cups", "fluid ounces", "grams", "milliliters", "ounce", "ounces", "servings", "tablespoons"]
 10958    | ["pound", "pounds"]
 10963    | ["pounds"]
 1097     | ["cup", "cups", "ounces"]
 10983    | ["", "cup", "cups", "pound", "pounds", "servings"]
 11001    | ["Handful", "cup", "cups", "handful", "servings", "tablespoons"]
 11007    | ["", "Tablespoons", "cup", "cups", "grams", "ounces", "tablespoon", "tablespoons"]
 11011    | ["", "Bunch", "Cups", "Handful", "Pound", "bag", "bunch", "bunches", "cup", "cups", "grams", "ounces", "pound", "pounds", "serving", "servings", "slice", "stalks"]
 11014037 | ["ounces"]
 11019297 | ["cups", "grams"]
 11020420 | ["", "8 inchs", "cup", "cups", "ounces", "package", "pound"]
 1102047  | ["", "Dash", "dash", "pinch", "pinche", "pinches", "serving", "servings", "tablespoon", "teaspoon", "teaspoons"]
 11024    | ["", "cups", "grams"]
 11028    | ["", "can", "cups", "inches", "ounces", "servings"]
 1103     | ["", "cup", "cups", "ounces"]
 11032    | ["cups"]
 11043    | ["bunch", "cup", "cups", "gms", "grams", "handfuls", "leave", "ounces", "pound", "servings", "slice", "tablespoon"]
 11043028 | ["cups"]
 11052    | ["", "Handful", "can", "cup", "cups", "gms", "grams", "handful", "ounces", "pound", "pounds", "servings"]
 1106     | ["cups", "grams", "milliliters", "ounces", "servings"]
 11080    | ["", "bunch", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings", "tablespoons", "teaspoon", "teaspoons"]
 11084    | ["", "cup"]
 11086    | ["bunch", "cup", "cups"]
 11090    | ["", "bag", "bunch", "bunches", "cup", "cups", "grams", "head", "heads", "ounces", "pound", "pounds", "servings"]
 11096    | ["bunch", "cups", "pound", "pounds"]
 11098    | ["", "Lb", "bag", "cup", "cups", "grams", "kg", "kgs", "ounces", "pound", "pounds", "servings"]
 11104    | ["grams"]
 11109    | ["", "C", "Handfuls", "Head", "cup", "cups", "grams", "handful", "head", "heads", "leaves", "ounces", "pound", "pounds", "servings"]
 11111111 | ["teaspoon", "teaspoons"]
 11112    | ["", "cup", "cups", "grams", "head", "heads", "ounces", "pounds", "serving", "servings"]
 11114    | ["", "cups", "grams", "head", "heads"]
 11116    | ["", "Head", "bunch", "cups", "grams", "handfuls", "head", "heads", "ounces", "pound", "pounds"]
 11120124 | ["cups", "ounces"]
 11120420 | ["cup", "cups", "grams", "ounces", "pound", "pounds"]
 11120421 | ["grams", "ounces", "pound", "pounds"]
 11124    | ["", "C", "Cs", "Cups", "bags", "bunch", "cup", "cups", "grams", "kg", "ounces", "pound", "pounds", "servings", "slices", "stick", "tablespoon", "tablespoons"]
 11134    | ["pound", "pounds"]
 11135    | ["", "Head", "bag", "cup", "cups", "grams", "head", "heads", "ounces", "pound", "pounds", "servings", "slices"]
 11141    | ["", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings"]
 11143    | ["", "C", "Cs", "Dash", "Handful", "Stalks", "Tablespoons", "Tbsps", "bunch", "cup", "cups", "dashes", "grams", "head", "heads", "ounces", "pound", "pounds", "rib", "ribs", "ribsribs", "servings", "slices", "stalk", "stalks", "stick", "sticks", "strips", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11147    | ["", "Bunchs", "bunch", "bunches", "cup", "cups", "leaf", "ounces", "pound", "pounds", "servings"]
 11149    | ["", "cups"]
 11151    | ["", "bunches", "cup", "head", "heads", "slice", "slices"]
 11152    | ["cups", "head", "pound"]
 11156    | ["", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "bunch", "cup", "cups", "gms", "grams", "handful", "ounces", "pinch", "serving", "servings", "sprigs", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1116     | ["C", "Cs", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "grs", "milliliters", "ounces", "scoops", "servings", "tablespoon", "tablespoons"]
 11161    | ["", "bunch", "cups", "ounces", "pounds"]
 11165    | ["", "Bunches", "Cs", "Cups", "Handful", "Leave", "Sprig", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "bunch", "bunches", "cup", "cups", "handful", "handfuls", "leave", "leaves", "ounces", "pinch", "serving", "servings", "slice", "sprig", "sprigs", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11167    | ["", "cup", "cups", "gms", "grams", "ounce", "ounces", "serving", "servings"]
 11168    | ["", "C", "Can", "Cs", "Cups", "Ozs", "bag", "can", "cup", "cups", "jar", "mLs", "ounces", "packages", "pound", "servings", "tablespoons"]
 1117     | ["Tbs", "cup", "cups", "grams", "ounces", "tablespoons"]
 11172    | ["", "Cans", "Ozs", "cans", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings"]
 11174    | ["cans", "cup", "cups", "ounces"]
 11176    | ["ounces"]
 11177    | ["can", "cans", "cup", "cups", "ounces", "servings"]
 1118     | ["Cs", "Tablespoons", "Tbs", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 1119     | ["", "Cs", "Tbs", "containers", "cup", "cups", "grams", "ounces", "servings"]
 11190    | ["cup"]
 11199    | ["bunches", "cup", "handful"]
 11206    | ["", "Cs", "Cups", "Slices", "cup", "cups", "grams", "inch", "inches", "ounces", "pound", "pounds", "servings", "slice", "slices", "tablespoon", "tablespoons"]
 11207    | ["bunch", "bunche", "cups", "handful", "servings"]
 11209    | ["", "cup", "cups", "grams", "inches", "kgs", "ounces", "pound", "pounds", "servings", "slice", "slices"]
 11211111 | ["milliliters", "tablespoons"]
 11212    | ["cup", "cups", "ounces", "pounds"]
 11213    | ["", "bunch", "cup", "cups", "head", "heads", "leave", "pound", "servings"]
 11215    | ["", "Clove", "Cloves", "Head", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "Teaspoons", "Tsps", "can", "clove", "cloves", "cup", "cups", "grams", "handful", "head", "heads", "leave", "ounce", "ounces", "pounds", "servings", "stalk", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11216    | ["", "Dash", "Inchs", "Slices", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "Teaspoons", "balls", "chunks", "cup", "cups", "dash", "grams", "inch", "inches", "ounce", "ounces", "pinch", "servings", "slice", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11219297 | ["cups", "tablespoons"]
 11220420 | ["cups", "grams", "ounces", "pound"]
 11226    | ["ounces"]
 1123     | ["", "boxe", "cups", "grams", "inches", "ounces", "pounds", "serving", "servings", "tablespoons"]
 11233    | ["", "Cs", "bunch", "bunches", "cup", "cups", "grams", "handful", "handfuls", "head", "heads", "leaves", "ounces", "pound", "pounds", "servings", "stalks"]
 11238    | ["", "cup", "cups", "grams", "handful", "ounces", "pound", "pounds"]
 11239    | ["cup", "cups", "ounces", "pound"]
 1124     | ["", "Cups", "Tbs", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons"]
 11240    | ["cup"]
 11241    | [""]
 11246    | ["", "bunch", "cup", "cups", "pound", "servings", "slice"]
 1125     | ["", "ounces"]
 11250    | ["", "bag", "cup", "cups", "handful", "head", "heads", "leaf", "leaves", "ounces", "servings"]
